APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2024-03-19,ARR,53792,4470,0,0,0,0,0,0,0,7,18,19,29,24,22,12,9,4,3,1,1,1,2,0,1,0,0,3
SBBR,2024-03-19,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,15,45,42,17,11,6,5,1,2,1,0,1,1,0,1,4
SBBR,2024-03-20,ARR,53792,4470,0,0,1,0,0,0,0,9,13,18,20,18,20,16,6,9,3,6,2,1,1,1,1,2,0,7
SBBR,2024-03-20,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,2,20,47,34,19,5,5,7,5,2,1,0,1,1,0,8
SBBR,2024-03-21,ARR,53792,4470,0,0,0,0,0,0,0,12,14,20,19,14,26,13,6,4,5,3,4,1,1,1,2,1,0,6
SBBR,2024-03-21,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,4,26,52,16,13,13,8,3,2,3,0,0,3,2,1,6
SBBR,2024-03-22,ARR,53792,4470,0,0,0,0,1,1,0,7,12,11,25,22,13,19,11,10,4,9,3,1,1,2,1,1,1,2
SBBR,2024-03-22,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,2,20,47,29,17,18,6,2,7,3,3,3,1,1,0,10
SBBR,2024-03-23,ARR,53792,4470,0,0,0,0,0,0,0,7,25,12,27,12,16,8,6,3,2,3,4,3,1,1,0,1,0,0
SBBR,2024-03-23,DEP,53792,4500,0,0,0,0,0,0,0,0,0,1,9,27,38,18,12,7,5,3,1,3,0,3,0,1,1,5
SBBR,2024-03-24,ARR,53792,4470,0,0,0,0,0,0,1,9,18,9,26,15,15,14,6,4,2,1,0,1,0,1,0,0,1,1
SBBR,2024-03-24,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,12,37,36,15,11,6,1,3,0,2,0,0,0,0,0,1
SBBR,2024-03-25,ARR,53792,4470,0,0,0,1,0,2,0,3,7,15,27,25,20,11,15,12,2,2,1,1,0,1,0,0,2,7
SBBR,2024-03-25,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,15,43,44,18,5,7,5,4,0,0,2,2,0,0,0,2
SBBR,2024-03-26,ARR,53792,4470,0,0,0,0,0,0,0,3,17,15,35,32,26,14,7,4,3,1,1,0,0,1,1,1,0,1
SBBR,2024-03-26,DEP,53792,4500,0,0,0,0,0,0,0,0,0,1,7,37,61,32,4,6,5,3,2,1,1,1,1,0,0,2
SBBR,2024-03-27,ARR,53792,4470,0,0,0,0,1,0,1,6,16,10,25,32,20,14,13,6,4,2,3,0,0,0,0,0,0,1
SBBR,2024-03-27,DEP,53792,4500,0,0,0,0,0,0,0,0,0,1,4,30,50,27,23,4,5,4,3,1,0,1,0,0,1,1
